Player,Pos,Total Points,STD,ID
Mike Williams,WR,113.5,6.39,147
Jakobi Meyers,WR,113.3,5.24,148
Deebo Samuel,WR,112.4,5.43,149
Curtis Samuel,WR,112.3,4.92,150
Brock Purdy,QB,110.3,8.79,151
Adam Thielen,WR,110.0,4.16,152
Khalil Herbert,RB,108.8,7.67,153
JuJu Smith-Schuster,WR,107.3,5.48,154
Pittsburgh Steelers,DST,107.0,6.46,155
Miami Dolphins,DST,107.0,6.15,156
Cleveland Browns,DST,107.0,7.36,157
New York Giants,DST,107.0,5.27,158
Drake London,WR,106.6,4.55,159
Donovan Peoples-Jones,WR,106.1,4.02,160
Minnesota Vikings,DST,106.0,5.23,161
Los Angeles Chargers,DST,106.0,5.5,162
Zach Wilson,QB,104.9,7.71,163
Samaje Perine,RB,104.1,7.16,164
Los Angeles Rams,DST,104.0,5.06,165
Cairo Santos,K,104.0,5.24,166
Tennessee Titans,DST,104.0,5.67,167
Evan Engram,TE,103.9,6.61,168
Brian Robinson Jr.,RB,103.7,5.83,169
Arizona Cardinals,DST,103.0,5.6,170
Tampa Bay Buccaneers,DST,103.0,6.2,171
Harrison Butker,K,102.0,4.8,172
Denver Broncos,DST,102.0,4.99,173
Matt Prater,K,99.0,5.68,174
Detroit Lions,DST,98.0,5.37,175
Keenan Allen,WR,98.0,6.46,176
Cole Kmet,TE,97.3,5.63,177
Joshua Palmer,WR,97.3,5.41,178
Mack Hollins,WR,97.2,5.53,179
Chris Boswell,K,97.0,4.94,180
Breece Hall,RB,96.1,7.99,181
K.J. Osborn,WR,95.6,6.01,182
Jahan Dotson,WR,95.6,6.3,183
Courtland Sutton,WR,95.4,4.21,184
Diontae Johnson,WR,94.7,2.51,185
Cameron Dicker,K,94.0,4.56,186
Juwan Johnson,TE,92.8,5.63,187
Kareem Hunt,RB,91.8,4.73,188
Deshaun Watson,QB,90.6,7.93,189
Sam Darnold,QB,89.3,8.24,190
Rachaad White,RB,89.1,3.99,191
Atlanta Falcons,DST,89.0,4.71,192
Marquise Brown,WR,89.0,5.27,193
Brandin Cooks,WR,88.6,4.62,194
DeAndre Hopkins,WR,87.7,6.49,195
Dawson Knox,TE,87.7,4.52,196
Kenyan Drake,RB,87.1,7.22,197
Randy Bullock,K,87.0,4.18,198
James Cook,RB,86.5,4.78,199
Dallas Goedert,TE,86.2,4.43,200
Parris Campbell,WR,86.1,4.32,201
Dalton Schultz,TE,85.7,5.42,202
Pat Freiermuth,TE,85.2,3.35,203
Michael Carter,RB,85.0,4.64,204
David Njoku,TE,84.0,4.61,205
Darius Slayton,WR,82.4,4.81,206
Gerald Everett,TE,81.5,3.73,207
Clyde Edwards-Helaire,RB,81.3,6.93,208
Marquez Valdes-Scantling,WR,80.4,3.83,209
Tyler Higbee,TE,80.0,5.13,210
Jordan Akins,TE,79.5,5.37,211
Devin Duvernay,WR,79.1,5.04,212
Mitch Trubisky,QB,78.9,6.18,213
Isaiah McKenzie,WR,77.8,4.82,214
James Robinson,RB,77.6,6.46,215
Las Vegas Raiders,DST,77.0,4.01,216
Richie James Jr.,WR,75.5,5.08,217
J.K. Dobbins,RB,74.2,6.3,218
Damien Harris,RB,73.9,5.06,219
Chuba Hubbard,RB,73.7,5.31,220
Tyler Conklin,TE,73.5,4.79,221
Alexander Mattison,RB,73.4,4.94,222
Noah Fant,TE,72.6,3.26,223
Russell Gage,WR,72.6,4.86,224
Rashid Shaheed,WR,72.5,4.78,225
DeVante Parker,WR,71.9,5.87,226
Noah Brown,WR,71.5,5.12,227
Alec Pierce,WR,71.3,4.28,228
Marvin Jones Jr.,WR,70.9,3.34,229
Matthew Wright,K,70.0,5.91,230
Olamide Zaccheaus,WR,70.0,3.42,231
Kalif Raymond,WR,69.2,3.39,232
Mecole Hardman Jr.,WR,68.8,6.65,233
Zach Ertz,TE,68.6,4.18,234
DJ Chark Jr.,WR,68.2,5.04,235
Chris Moore,WR,67.1,3.74,236
Michael Gallup,WR,66.4,3.98,237
DeAndre Carter,WR,66.3,4.49,238
Mike Gesicki,TE,66.2,5.04,239
Josh Reynolds,WR,65.9,4.73,240
Corey Davis,WR,65.6,4.56,241
Jaylen Warren,RB,65.3,3.4,242
Chigoziem Okonkwo,TE,65.2,4.0,243
Kenneth Gainwell,RB,64.9,3.59,244
Eno Benjamin,RB,64.6,5.03,245
Marquise Goodwin,WR,63.2,5.55,246
Isaiah Hodgins,WR,63.2,4.91,247
Hunter Henry,TE,62.9,3.8,248
Robert Woods,WR,62.7,3.19,249
Melvin Gordon III,RB,62.1,4.4,250
Chicago Bears,DST,62.0,3.78,251
Darnell Mooney,WR,61.5,3.89,252
Greg Dortch,WR,61.1,4.56,253
Mike White,QB,60.6,7.42,254
Nico Collins,WR,60.1,3.67,255
Cooper Rush,QB,59.6,5.65,256
Romeo Doubs,WR,59.6,4.18,257
Gus Edwards,RB,59.3,5.16,258
Chase Claypool,WR,59.0,4.11,259
Robert Tonyan,TE,59.0,3.1,260
Chase Edmonds,RB,58.2,3.97,261
Nick Westbrook-Ikhine,WR,57.7,5.81,262
Darren Waller,TE,56.8,4.55,263
Darrell Henderson Jr.,RB,56.5,3.98,264
Austin Hooper,TE,56.4,3.63,265
Dontrell Hilliard,RB,56.2,5.04,266
Hayden Hurst,TE,55.9,3.11,267
Demarcus Robinson,WR,55.8,3.39,268
Isaiah Likely,TE,55.3,4.13,269
Treylon Burks,WR,55.1,3.61,270
Terrace Marshall Jr.,WR,55.0,3.41,271
Van Jefferson,WR,54.9,3.74,272
Deon Jackson,RB,54.5,5.29,273
Trent Sherfield,WR,53.7,3.95,274
Zack Moss,RB,53.5,4.7,275
Kendrick Bourne,WR,53.3,4.39,276
Greg Dulcich,TE,53.1,3.86,277
Tyler Huntley,QB,53.0,5.34,278
Will Dissly,TE,52.9,3.39,279
Foster Moreau,TE,52.2,3.0,280
Allen Robinson II,WR,51.9,4.25,281
Quez Watkins,WR,51.5,3.93,282
Nyheim Hines,RB,51.4,3.78,283
Joe Flacco,QB,51.3,7.19,284
Elijah Moore,WR,51.1,3.15,285
Cade Otton,TE,51.1,3.43,286
